City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,warrnambool,-38.3833,142.4833,11.48,92,27,1.86,AU,1699380602
220,fortuna,40.5982,-124.1573,14.96,90,20,1.54,US,1699380605
221,port elizabeth,-33.918,25.5701,16.29,84,8,1.79,ZA,1699380606
222,casablanca,33.5928,-7.6192,17.96,52,3,4.92,MA,1699380208
223,kargasok,59.0556,80.8572,-4.11,90,98,5.75,RU,1699380607
224,chateau-thierry,49.05,3.4,11.11,77,21,5.39,FR,1699380607
225,kenton,38.9501,-84.5333,23.06,50,40,3.09,US,1699380608
226,luang prabang,19.8856,102.1347,20.99,99,44,0.37,LA,1699380608
227,tefe,-3.3542,-64.7114,28.06,83,75,1.54,BR,1699380608
228,chom thong,18.4174,98.6743,27.14,94,70,0.93,TH,1699380609
229,raholt,60.2667,11.1833,2.32,92,75,1.03,NO,1699380609
230,uchiza,-8.4592,-76.4633,33.64,48,48,0.46,PE,1699380609
231,beli,7.8587,10.9719,28.55,56,80,1.48,NG,1699380610
232,urangan,-25.3,152.9,21.11,66,73,5.66,AU,1699380610
233,paradip garh,20.3167,86.6167,24.53,63,30,0.81,IN,1699380610
234,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699380611
235,bangor,54.6534,-5.669,8.73,87,69,3.6,GB,1699380611
236,alofi,-19.0595,-169.9187,22.94,83,40,1.54,NU,1699380611
237,tamandare,-8.7597,-35.1047,28.44,62,44,4.62,BR,1699380611
238,atafu village,-8.5421,-172.5159,28.29,80,82,6.39,TK,1699380612
239,santa ana,33.7456,-117.8678,20.48,73,100,3.6,US,1699380612
240,rabo de peixe,37.8,-25.5833,19.99,99,40,8.23,PT,1699380612
241,cukai,4.25,103.4167,25.18,91,100,1.88,MY,1699380613
242,mohr,54.3528,9.7167,9.08,93,75,5.66,DE,1699380613
243,praia da vitoria,38.7333,-27.0667,20.42,87,56,10.67,PT,1699380524
244,dapa,9.7594,126.0531,27.59,82,100,4.52,PH,1699380613
245,edmundston,47.3737,-68.3251,3.63,93,100,3.6,CA,1699380614
246,marsh harbour,26.5412,-77.0636,25.94,73,43,5.45,BS,1699380614
247,remire-montjoly,4.9167,-52.2667,32.02,66,20,5.14,GF,1699380614
248,udachny,66.4167,112.4,-22.4,100,73,0.87,RU,1699380615
249,brookings,44.3114,-96.7984,7.88,72,0,7.72,US,1699380615
250,coquimbo,-29.9533,-71.3436,20.17,56,0,5.14,CL,1699380498
251,singoli,24.9667,75.3,23.1,37,5,2.6,IN,1699380574
252,ancud,-41.8697,-73.8203,11.57,72,77,6.26,CL,1699380616
253,port lincoln,-34.7333,135.8667,13.47,86,19,5.35,AU,1699380616
254,kudahuvadhoo,2.6708,72.8944,26.1,84,100,0.67,MV,1699380616
255,teshi old town,5.5836,-0.1072,28.08,75,16,3.94,GH,1699380617
256,limon,10.0,-83.0333,31.7,79,0,3.09,CR,1699380617
257,carahue,-38.7,-73.1667,15.55,61,28,4.1,CL,1699380617
258,ploudalmezeau,48.5333,-4.65,10.14,81,75,2.57,FR,1699380618
259,patong,7.8961,98.2966,25.08,76,99,1.77,TH,1699380541
260,ola,59.5833,151.2833,-21.59,78,4,5.92,RU,1699380618
261,bomdila,27.25,92.4,6.44,86,51,2.75,IN,1699380618
262,esqueda,30.7167,-109.5833,26.8,24,0,4.0,MX,1699380619
263,vilyuchinsk,52.9306,158.4028,-4.3,64,100,6.63,RU,1699380619
264,sao felix do xingu,-6.6447,-51.995,35.46,39,95,1.65,BR,1699380620
265,sheridan,44.8333,-106.9173,13.21,39,0,1.54,US,1699380620
266,gebeit,21.0667,36.3167,25.19,63,8,5.22,SD,1699380621
267,kavieng,-2.5744,150.7967,28.19,79,100,6.58,PG,1699380621
268,noosa heads,-26.3833,153.15,21.17,72,77,4.1,AU,1699380622
269,pacific grove,36.6177,-121.9166,16.34,88,40,1.54,US,1699380622
270,antonio enes,-16.2325,39.9086,27.49,72,4,8.31,MZ,1699380622
271,iisalmi,63.5592,27.1907,1.68,99,100,2.35,FI,1699380623
272,tierralta,8.1736,-76.0592,29.61,76,100,1.07,CO,1699380623
273,saint-pierre,-21.3393,55.4781,23.09,88,75,5.14,RE,1699380624
274,chernigovka,44.3389,132.5728,-3.5,80,79,1.82,RU,1699380624
275,battambang,13.1027,103.1982,24.17,93,45,1.51,KH,1699380351
276,mossel bay,-34.1831,22.146,16.09,69,65,2.79,ZA,1699380625
277,chernyshevskiy,63.0128,112.4714,-15.19,97,100,1.46,RU,1699380625
278,boyarka,50.3191,30.2973,13.39,69,78,3.85,UA,1699380625
279,codrington,-38.2667,141.9667,9.3,97,35,1.91,AU,1699380626
280,harstad,68.799,16.5293,1.66,96,100,2.2,NO,1699380626
281,khovd,48.0056,91.6419,-7.25,65,4,1.44,MN,1699380626
282,jeddah,21.5169,39.2192,28.92,58,0,2.57,SA,1699380390
283,zouerate,22.7187,-12.4521,23.21,30,3,6.23,MR,1699380627
284,bubaque,11.2833,-15.8333,29.52,71,10,4.37,GW,1699380628
285,torghay,49.6339,63.4981,6.24,36,21,4.17,KZ,1699380418
286,wajir,1.7471,40.0573,28.26,69,84,4.18,KE,1699380628
287,padrauna,26.9025,83.9819,20.14,52,0,2.4,IN,1699380628
288,tual,-5.6667,132.75,27.1,82,78,5.41,ID,1699380629
289,luderitz,-26.6481,15.1594,17.31,74,0,10.91,,1699380629
290,bardai,11.65,7.2333,26.4,22,47,2.9,NG,1699380629
291,inderbor,48.55,51.7833,10.96,77,84,6.37,KZ,1699380629
292,wuwei,37.9281,102.6414,3.33,34,2,1.34,CN,1699380630
293,gadzhiyevo,69.2551,33.3362,0.56,77,100,5.02,RU,1699380630
294,salalah,17.0151,54.0924,27.05,69,0,2.06,OM,1699380564
295,la tijera,19.9,-104.4,25.01,39,79,1.08,MX,1699380631
296,pariaman,-0.619,100.12,24.03,97,100,1.56,ID,1699380631
297,zaozersk,69.4005,32.4476,-1.36,87,100,2.97,RU,1699380631
298,hassi messaoud,31.6804,6.0729,25.3,21,16,5.41,DZ,1699380631
299,mazagao,-0.115,-51.2894,33.03,38,100,3.82,BR,1699380632
300,takum,7.2667,9.9833,27.88,65,46,0.86,NG,1699380632
301,fale old settlement,-9.3852,-171.2468,28.89,72,79,6.69,TK,1699380633
302,acapulco de juarez,16.8634,-99.8901,30.09,70,75,2.58,MX,1699380633
303,george town,5.4112,100.3354,28.3,94,20,0.0,MY,1699380633
304,sabang,5.8933,95.3214,27.72,77,95,2.76,ID,1699380633
305,colonia,50.9333,6.95,10.07,78,75,3.09,DE,1699380608
306,bodrum,37.0383,27.4292,20.71,78,7,2.05,TR,1699380565
307,brownfield,33.1812,-102.2744,28.86,18,0,5.61,US,1699380634
308,lubumbashi,-11.6609,27.4794,19.21,86,74,0.35,CD,1699380622
309,zhezqazghan,47.7833,67.7667,5.97,39,42,4.55,KZ,1699380635
310,jacmel,18.2342,-72.5347,32.91,68,84,3.04,HT,1699380635
311,watsa,3.0372,29.5355,19.38,97,95,0.6,CD,1699380635
312,labrador city,52.9463,-66.9114,-7.05,93,100,3.6,CA,1699380635
313,yemetsk,63.4721,41.7941,2.32,98,100,3.03,RU,1699380636
314,itoman,26.1247,127.6694,21.01,73,9,3.09,JP,1699380636
315,qingdao,36.0986,120.3719,14.44,59,9,4.9,CN,1699380205
316,rawah,34.4816,41.9093,23.02,49,0,3.33,IQ,1699380637
317,totness,5.8833,-56.3167,30.32,70,51,6.1,SR,1699380637
318,port-cartier,50.0334,-66.8654,0.42,98,100,6.14,CA,1699380637
319,vila velha,-20.3297,-40.2925,24.97,66,20,7.2,BR,1699380638
320,georgetown,5.4112,100.3354,28.3,94,20,0.0,MY,1699380235
321,tyre,33.2733,35.1939,23.4,77,0,2.25,LB,1699380638
322,piranhas,-16.4269,-51.8222,39.61,22,85,2.21,BR,1699380639
323,bata,1.8639,9.7658,25.45,89,95,1.46,GQ,1699380639
324,mattoon,39.4831,-88.3728,20.81,45,0,0.0,US,1699380639
325,madimba,-10.4,40.3333,25.38,83,4,2.82,TZ,1699380639
326,kuusamo,65.9667,29.1833,-0.98,100,75,1.03,FI,1699380640
327,tvoroyri,61.5556,-6.8111,7.68,84,95,4.65,FO,1699380586
328,uige,-7.6087,15.0613,21.2,95,99,0.69,AO,1699380640
329,revda,56.801,59.9303,-0.68,92,100,1.28,RU,1699380641
330,buckeye,33.3703,-112.5838,29.53,24,0,4.12,US,1699380641
331,belyy yar,53.6039,91.3903,-10.06,92,0,2.0,RU,1699380642
332,korla,41.7597,86.1469,6.08,24,2,0.41,CN,1699380642
333,wang nam yen,13.5033,102.1812,24.12,91,77,1.08,TH,1699380643
334,enewetak,11.3474,162.3373,28.25,71,100,10.27,MH,1699380643
335,antsiranana,-12.2787,49.2917,25.56,80,3,6.24,MG,1699380644
336,necochea,-38.5473,-58.7368,28.58,39,100,6.83,AR,1699380621
337,constitucion,-35.3333,-72.4167,16.96,59,0,6.82,CL,1699380566
338,punta gorda isles,26.9176,-82.0784,30.02,65,75,2.57,US,1699380645
339,brena alta,28.65,-17.7833,19.97,60,20,7.72,ES,1699380646
340,sinop,41.7711,34.8709,9.24,70,2,1.69,TR,1699380538
341,swift current,50.2834,-107.8014,3.45,93,100,2.57,CA,1699380647
342,taoudenni,22.6783,-3.9836,29.56,21,85,4.41,ML,1699380647
343,caluula,11.9661,50.7569,27.17,71,75,4.33,SO,1699380647
344,iwanai,42.9744,140.5089,7.14,88,99,3.78,JP,1699380648
345,turkmenbasy,40.0222,52.9552,16.43,77,40,6.17,TM,1699380648
346,grand baie,-20.0182,57.5802,24.69,83,58,1.79,MU,1699380648
347,san sebastian de la gomera,28.0916,-17.1133,23.54,46,20,6.69,ES,1699380648
348,khandyga,62.6667,135.6,-34.14,100,21,0.19,RU,1699380649
349,kapuskasing,49.4169,-82.4331,-2.71,81,93,4.41,CA,1699380649
350,danane,7.2596,-8.155,24.1,90,44,0.81,CI,1699380649
351,ankang,32.68,109.0172,13.33,86,46,0.15,CN,1699380650
352,yazykovo,55.2199,56.1353,4.38,72,99,3.11,RU,1699380650
353,long,18.0761,99.8326,23.33,97,84,0.45,TH,1699380650
354,sarandi grande,-33.7333,-56.3333,29.69,53,1,7.63,UY,1699380651
355,barra de santo antonio,-9.4047,-35.5072,29.6,62,44,4.72,BR,1699380651
356,san jeronimo,-11.9472,-75.2829,17.58,51,64,2.43,PE,1699380651
357,kievka,50.2619,71.5514,4.69,34,56,3.96,KZ,1699380652
358,kailua-kona,19.6406,-155.9956,26.39,84,75,3.6,US,1699380652
359,sirte,31.2089,16.5887,23.28,70,0,6.32,LY,1699380652
360,uliastay,47.7417,96.8444,-14.82,98,100,0.63,MN,1699380652
361,piti village,13.4626,144.6933,28.49,84,0,3.6,GU,1699380653
362,corner brook,48.9667,-57.9484,3.83,61,100,3.11,CA,1699380653
363,lusambo,-4.9667,23.45,24.34,78,75,0.73,CD,1699380653
364,joaquin v. gonzalez,-25.0833,-64.1833,41.46,22,1,7.73,AR,1699380654
